origine,destination,couleur
Câmpia Turzii,Deva Ilia,rouge
Câmpia Turzii,Radna,violet
Câmpia Turzii,Salonta,violet
Călăraşi,Kardam,rouge
Debrecen,Biharkeresztes,rouge
Debrecen,Biharkeresztes,violet
Deda,Odorhei,violet
Deda,Piatra Neamţ Cluj-Napoca,vert
Deda,Piatra Neamţ Cluj-Napoca,violet
Deda,Sighișoara,rouge
Deda,Sighișoara,vert
Dej,Târgu Mureș,violet
Delle,Besancon Franche-Comté,rouge
Delle,Orbe,rouge
Den Sweden,Varberg,rouge
Denmark,Esbjerg,rouge
Denmark,Switzerland,vert
Diakopto,Kalavrita,rouge
Diakopto,Kalavrita,vert
Dimitrovgrad,Ormenio Ormenio,rouge
Dobrljin,Bosnia Herzegovina,rouge
Dobrljin,Bosnia Herzegovina,violet
Drammen,Sandefjord,rouge
Drobeta-,Vidin Calafat,violet
Dzialdowo,Włocławek,rouge
Edirne,Halkalı Pendik,rouge
Edirne,Pythion,rouge
Edirne,Uzunköprü,rouge
Edirne,Uzunköprü,vert
Eforie Nord Mangalia,Lancy- Pont-Rouge,vert
Eforie Nord Mangalia,Pont-Rouge,rouge
Eforie Nord Mangalia,Povelyanovo  Kaspichan,rouge
Eforie Nord Mangalia,Varna,rouge
Egersund,10h,rouge
Egersund,10h,violet
Egirdir,Cyprus,rouge
Egirdir,Isparta Burdur Denizli,rouge
Egirdir,Karaman,rouge
Egirdir,Konya,rouge
Eksjö,Berga,rouge
Eksjö,Berga,vert
Eksjö,Hultsfred,vert
Enna,Caltanisetta,vert
Eregli,Adapazarı,rouge
Eregli,Haydarpaşa,rouge
Erstfeld,Titlis,rouge
Erzincan,Batman,rouge
Erzincan,Batman,vert
Erzincan,Batman,violet
Erzincan,Biasca,rouge
Erzincan,Erzurum,rouge
Erzincan,Malatya,vert
Erzincan,Sivas,rouge
Erzurum,Batman,rouge
Erzurum,Erzincan,rouge
Erzurum,Tatvan,vert
Eski  ehir,Kütahaya,rouge
Eski  ehir,Kütahaya,violet
Eski  ehir,Turkey,rouge
Eskilstuna,Katrineholm,rouge
Estonia,Viljandi,rouge
Falköping,Jönköping,violet
Falköping,Trollhättan Uddevalla Skövde,rouge
Falun,Borlänge,vert
Falun,Gävle,vert
Falun,Ludvika,vert
Faurei,Urziceni,vert
Fetești,Kardam,rouge
Fetești,Medgidia,rouge
Firenze,Chiusi,rouge
First,Scheidegg Schilthorn,rouge
Florina,Kalambáka,rouge
Florina,Kalambáka,vert
Florina,Véria,rouge
Flåm,Nordagutu,rouge
Focșani,Bușteni,vert
Focșani,Bușteni,violet
Foggia,Cervaro,violet
Formia Benevento Caserta,Cassino Latina,rouge
Frankfurt a/d Oder,Cottbus,vert
Frankfurt a/d Oder,Rzepin,vert
Frederikshavn,14h30,rouge
Frederikshavn,Ålborg Ålborg g,rouge
Galați,Tulcea,rouge
Gaziantep,Meydanekbez,vert
Gaziantep,Nusaybin,rouge
Gaziantep,Nusaybin,vert
Gdansk ´,Elbląg,rouge
Gdansk ´,Elbląg,vert
Gdynia,Gdansk ´,vert
Gdynia,Tczew,vert
Georgia,Biasca,rouge
Georgia,Biasca,vert
Georgia,Russia,rouge
Gevgelija Xanthi Drama,Kocani,vert
Gevgelija Xanthi Drama,Thessaloniki Edessa,rouge
Giurgiu Nord,Gorna,vert
GiǏycko,Suwałki,violet
GiǏycko,Szczytno,rouge
Gletsch Oberwald,Erzincan,rouge
Gletsch Oberwald,Samsun,vert
Goleşti,Curtea de Argeș Parc Kreţulescu,violet
Gorna,Orjahovitza,vert
Gorna,Veliko Tarnovo,violet
Gotland,28h30,rouge
Gotland,28h30min,rouge
Gotland,28h30min,vert
Gotland,Oskarshamn,vert
Graz,Hodos,rouge
Grong,Trondheim,vert
Grong,Östersund,vert
Grosseto,Orvieto,rouge
Gruyères,Black Sea,rouge
Gruyères,Chavornay,vert
Gruyères,Chavornay,violet
Gruyères,Wilderswil,vert
Győr,Veszprém,violet
Gävle,4h30 min,rouge
Gävle,Långnäs Naantali Torsby,vert
Gävle,Uppsala,vert
Göteborg,3h20,rouge
Hajnówka Hajnówka,Belarus,violet
Hajnówka Hajnówka,Terespol,rouge
