origine,destination,couleur
Turkey,Egirdir,violet
Turku,Salo,vert
Tynset Dombås,Otta,rouge
Tynset Dombås,Otta,vert
Târgoviște Târgoviște Reșița,Corabia,rouge
Târgu Mureș,Mediaș,vert
Târgu Neamț,Bistrița Nord Pașcani,rouge
Târgu Neamț,Iași,violet
Târgu Neamț,Onești,rouge
Târgu Neamț,Roman,rouge
Târgu Neamț,Vatra Dornei,violet
Uddevalla,Trollhättan,vert
Ukraine,Besancon Franche-Comté,violet
Ukraine,Cristești Jijia Nicolina,vert
Ukraine,Switzerland,rouge
Ukraine,Switzerland,vert
Ukraine,Valea,violet
Ukraine,Vicsani,rouge
Ukraine,Vicsani,violet
Uppsala,Arlanda  Arlanda,rouge
Uppsala,Kapellskär,rouge
Urziceni,București,vert
Urziceni,Tandarei,violet
Ustka,Koszalin Kołobrzeg Slupsk Lębork,vert
Ustka,Koszalin Kołobrzeg Slupsk Lębork,violet
Uzunköprü,Halkalı Pendik,rouge
Uzunköprü,Mytilene,rouge
Valea,Cacica Cacica,rouge
Valea,Valea Vișeului,rouge
Valea,Valea Vișeului,vert
Valea,Vicșani,violet
Valea Vișeului,Viseului,rouge
Valea Vișeului,Viseului,vert
Varberg,Sweden,rouge
Varna,Burgas,rouge
Varna,Burgas,vert
Varna,Istanbul,rouge
Varna,Povelyanovo  Kaspichan,rouge
Vatra Dornei,Bicaz,vert
Vatra Dornei,Bicaz,violet
Vatra Dornei,Deda,rouge
Veles,Bitola,rouge
Veles,Idomeni,rouge
Veles,North,vert
Veliko Tarnovo,Karnobat,vert
Veliko Tarnovo,Tulovo,violet
Ventspils,Gotland,vert
Ventspils,Liepāja,rouge
Ventspils,Liepāja,vert
Ventspils,Tukums,rouge
Vicsani,Botoșani Botoșani,violet
Vicșani,Cacica Cacica,vert
Vicșani,Suceava,violet
Vicșani,Valea,violet
Videle,Alexandria Alexandria,violet
Videle,Giurgiu Nord,violet
Vidin Calafat,Mezdra,rouge
Vidin Calafat,Nis,rouge
Vidin Calafat,Soﬁa,violet
Viljandi,Skulte,rouge
Viljandi,Skulte,vert
Villa S.Giovanni,Reggio Calabria,rouge
Vinkovci,Doboj,violet
Viseului,Vatra Dornei,rouge
Volos,Chalkis,rouge
Volos,Lamia,rouge
Volos,Paleofársalos,rouge
Vänern,Laxå,vert
Vänern,Skövde,rouge
Vänern,Skövde,vert
Vänern,Vättern,vert
Västervik,Norrköping,rouge
Västervik,Oskarshamn,vert
Västerås,Hallsberg,rouge
Västerås,terås,vert
Vättern,Jönköping Nässjö,rouge
Vättern,Jönköping Nässjö,vert
Véria,Kalambáka,rouge
Véria,Kalambáka,vert
Warszawa,Lublin,rouge
Wilderswil,Gruyères,rouge
Wilderswil,Schilthorn,rouge
Zagórz,7YaLT`ǋS 7YaLT`ǋS,vert
Zakopane,Strba Strba,violet
Zamość,7YaLT`ǋS 7YaLT`ǋS,rouge
Zdrój Krynica- Zdrój,Plavec,rouge
Zonguldak,Eregli,rouge
Zonguldak,Haydarpaşa,rouge
Zonguldak,Karabük,rouge
Zonguldak,Pont-Rouge,violet
Zvecan Zvecan,Kosovo Polje,vert
Zvecan Zvecan,Pristina Pristina,vert
nad Tisou,Toka,violet
t M tk t v ov ov c k Metkovic,Mostar,rouge
t M tk t v ov ov c k Metkovic,Ploce,violet
terås,Eskilstuna,rouge
Ålborg Ålborg g,14h30,rouge
Åndalsnes,Otta,vert
Ånge,Sveg,vert
Ånge,Östersund,vert
Çankiri,Ìrmak,rouge
Çetinkaya,Malatya,vert
Ìrmak,Ankara,rouge
Ìrmak,Kirikkale,violet
Öland,10h30min,vert
Östersund,Røros,vert
Östersund,Sveg,vert
Östersund,Ånge,vert
Šiauliai,Lithuania Lithuania,vert
