Ancenis 44150 Ancenis-Saint-Géréon
Barcelone-Sants, Pl. dels Països Catalans, 1, 7, Sants-Montjuïc, 08014 Barcelona, Espagne
Basel SBB, Centralbahnstrasse 10, 4051 Basel, Suisse
"Berlin-Gesundbrunnen
Gesundbrunnen
Berlin
Allemagne"
Bouzonville , 57320 Bouzonville
Bruxelles Midi/Brussel Zuid, 1060 Saint-Gilles, Belgique
Gare de Charleroi-Central, Sq. des Martyrs 18, 6000 Charleroi, Belgique
