Gare de Etang-sur-Arroux
Gare de Etaples - Le Touquet
Gare de Evreux Normandie
Gare de Allamps E.S.A.T
Gare de Ancenis Bis
Gare de Barcelone-Sants
Gare de Basel SBB
Gare de Berlin-Gesundbrunnen
Gare de Bouzonville Institut Providenc
Gare de Bruxelles Midi
Gare de Champagnole Paul-Emile Victor
Gare de Charleroi-Central
Gare de Damblain Eglise
Gare de Diebling Maison Forestiere
Gare de Dompierre Halte Routiere
Gare de Dossenheim-sur-Zinsel Pressoir
Gare de Francfort sur le Main
Gare de Freiburg (Breisgau) Hbf
Gare de Geneve Cornavin
Gare de Geneve Eaux-Vives
Gare de Grandris-Centre
Gare de Griesbach-le-Bastberg Eglise
Gare de Haguenau Arret Ritmo Moulin Neuf
Gare de Hirson Ecoles
Gare de Howald
Gare de Hundling Stade
Gare de Kédange (Eglise)
Gare de Kaiserslautern Hbf
Gare de Karlsruhe Hbf
Gare de La Bastide-St-Laurent-les-B.
Gare de La Chaux-de-Fonds
Gare de La Plaine (Suisse)
Gare de Laissac Place du Foiral
Gare de Lancy-Pont-Rouge
Gare de Landau (Pfalz) Hbf
Gare de Le Breuil-sur-Couze Lycee Agricole
Gare de Le Locle
Gare de Les Aubrais Routiere
Gare de Liepvre Route La Vancelle
Gare de Lichtenberg Eglise
Gare de Loupershouse centre
Gare de Lutterbach Tram-train
Gare de Mainz Hbf
Gare de Marvejols Place du Chayla
Gare de MILANO PORTA GARIBALDI
Gare de Moutiers-Salins-Brides-les-B.
Gare de Monaco-Monte-Carlo
Gare de Muellheim (Baden)
Gare de Neuenburg (Baden)
Gare de Neustadt (Weinstr) Hbf
Gare de Noiretable Place Passeliere
Gare de Offenburg
Gare de Paris Bercy Bourg. Pays d'Auv.
Gare de Paris de Lyon Hall 1 - 2
Gare de Paris-Austerlitz Routiere
Gare de Paris-Montparnasse Point Rencontre Groupes
Gare de Payns Abri Cote Savieres
Gare de Perl Routiere
Gare de Poule-les-Echarmeaux Mairie
Gare de Saint-Etienne ChAÂ¢teaucreux
Gare de Sainte-Marie-aux-Mines Cite Scolaire
Gare de Saint-Florentin routiere
Gare de Saint-Georges-d'Aurac Bourg
Gare de Saint-Jean-de-Bassel Eglise
Gare de Saint-Pierre-de-Chandieu Charmy
Gare de Sarrebourg LP Messmer
Gare de Ste-Croix Sq. G. de Gaulle
Gare de Ste-Marie-aux-Ms P. de Gaulle
Gare de St-Etienne-Chatcrx. G Routiere
Gare de Stuttgart Hbf
Gare de Turin Porta Susa
Gare de Urcay Hotel du Lyon d'Or
Gare de VENTIMIGLIA
Gare de Winden (Pfalz)
Gare de Woerth (Rhein)
Gare de Zuerich HB
