id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
;Belfort-Ville;Belfort-Ville;;;47.6335286;6.8537846;;;FR;Europe/Paris
;Bellegarde;Bellegarde;;;43.4255556;0.6244444;;;FR;Europe/Paris
;Benfeld;Benfeld;;;48.3707281;7.5952375;;;FR;Europe/Paris
;Bergerac;Bergerac;;;44.8534568;0.4875310;;;FR;Europe/Paris
;Bern;Bern;;;45.0073345;-0.6268971;;;FR;Europe/Paris
;Berthelming Mairie;Berthelming Mairie;;;48.8186182;7.0088638;;;FR;Europe/Paris
;Besançon Franche-Comté TGV;Besancon Franche-Comte;;;47.2380222;6.0243622;;;FR;Europe/Paris
;Besançon Viotte;Besancon Viotte;;;47.2470171;6.0218662;;;FR;Europe/Paris
;Bettembourg;Bettembourg;;;49.3564273;6.1995200;;;FR;Europe/Paris
;Bettembourg Gare;Bettembourg;;;49.3564273;6.1995200;;;FR;Europe/Paris
;Bidos;Bidos;;;43.1790523;-0.6047222;;;FR;Europe/Paris
;Biganos Facture;Biganos Facture;;;44.6372409;-0.9661780;;;FR;Europe/Paris
;Bitche Ancienne Gare;Bitche Ancienne;;;49.0406620;7.5507948;;;FR;Europe/Paris
;Bitche Camp;Bitche Camp;;;49.0702094;7.4931889;;;FR;Europe/Paris
;Bitche Quartier Driant;Bitche Quartier Driant;;;49.0578885;7.4565091;;;FR;Europe/Paris
;Bléré - la Croix;Blere - la Croix;;;47.3377308;0.9877615;;;FR;Europe/Paris
;Blois - Chambord;Blois - Chambord;;;47.5854590;1.3232893;;;FR;Europe/Paris
;Boën;Boen;;;45.7456231;4.0042790;;;FR;Europe/Paris
;Bois d'Oingt;Bois d'Oingt;;;45.9065156;4.5755632;;;FR;Europe/Paris
;Bonneville;Bonneville;;;50.0825670;2.2486687;;;FR;Europe/Paris
;Bons-en-Chablais;Bons-en-Chablais;;;46.2649180;6.3702817;;;FR;Europe/Paris
;Bordeaux Saint-Jean;Bordeaux Saint-Jean;;;44.8255227;-0.5556498;;;FR;Europe/Paris
;Bort-les-Orgues;Bort-les-Orgues;;;45.4010305;2.4992935;;;FR;Europe/Paris
;Boulogne sur Mer;Boulogne sur Mer;;;50.7259985;1.6118771;;;FR;Europe/Paris
;Bourg-en-Bresse;Bourg-en-Bresse;;;46.2051192;5.2250324;;;FR;Europe/Paris
;Bourg-en-Bresse Gare Routière;Bourg-en-Bresse Routiere;;;46.1988292;5.2155626;;;FR;Europe/Paris
;Bourges;Bourges;;;47.0811658;2.3991250;;;FR;Europe/Paris
;Bourgoin-Jallieu;Bourgoin-Jallieu;;;45.5860438;5.2772265;;;FR;Europe/Paris
;Bourg-Saint-Maurice;Bourg-Saint-Maurice;;;45.6186105;6.7695277;;;FR;Europe/Paris
;Boussens;Boussens;;;43.1765718;0.9728531;;;FR;Europe/Paris
;Bouzonville;Bouzonville;;;49.2901634;6.5352470;;;FR;Europe/Paris
;Bréauté - Beuzeville;Breaute - Beuzeville;;;49.6035509;0.4174199;;;FR;Europe/Paris
;Breil-sur-Roya;Breil-sur-Roya;;;43.9375321;7.5139664;;;FR;Europe/Paris
;Bressuire;Bressuire;;;46.8425572;-0.4929017;;;FR;Europe/Paris
;Brest;Brest;;;48.3905283;-4.4860088;;;FR;Europe/Paris
;Bretenoux - Biars;Bretenoux - Biars;;;44.9275487;1.8442422;;;FR;Europe/Paris
;Briançon;Briancon;;;44.8984037;6.6436313;;;FR;Europe/Paris
;Brignais;Brignais;;;45.6739755;4.7540703;;;FR;Europe/Paris
;Brioude;Brioude;;;45.2938970;3.3853711;;;FR;Europe/Paris
;Brive-la-Gaillarde;Brive-la-Gaillarde;;;45.1584982;1.5332389;;;FR;Europe/Paris
;Brou;Brou;;;48.2110511;1.1662579;;;FR;Europe/Paris
;Bruyères;Bruyeres;;;48.2115397;6.7204365;;;FR;Europe/Paris
;Bueil;Bueil;;;48.9301195;1.4415715;;;FR;Europe/Paris
;Busigny;Busigny;;;50.0350792;3.4692426;;;FR;Europe/Paris
;Bussac;Bussac;;;45.2722400;0.6060000;;;FR;Europe/Paris
;Buswiller-Eglise;Buswiller-Eglise;;;48.8197095;7.5596548;;;FR;Europe/Paris
;Caen;Caen;;;49.1813403;-0.3635615;;;FR;Europe/Paris
;Cahors;Cahors;;;44.4495000;1.4364999;;;FR;Europe/Paris
;Calais - Fréthun;Calais - Frethun;;;50.9019122;1.8114399;;;FR;Europe/Paris
;Calais Ville;Calais Ville;;;50.9533777;1.8503652;;;FR;Europe/Paris
;Callac;Callac;;;48.4049107;-3.4263150;;;FR;Europe/Paris
;Cambo-les-Bains;Cambo-les-Bains;;;43.3609139;-1.3994687;;;FR;Europe/Paris
;Cambrai;Cambrai;;;50.1757546;3.2346145;;;FR;Europe/Paris
;Cannes;Cannes;;;43.5515198;7.0134418;;;FR;Europe/Paris
;Cannes La Bocca;Cannes La Bocca;;;43.5488470;6.9865913;;;FR;Europe/Paris
;Capdenac;Capdenac;;;44.5808234;2.0696065;;;FR;Europe/Paris
;Carcassonne;Carcassonne;;;43.2130358;2.3491069;;;FR;Europe/Paris
;Carhaix;Carhaix;;;48.2779955;-3.5621984;;;FR;Europe/Paris
;Carmaux;Carmaux;;;44.0496296;2.1583033;;;FR;Europe/Paris
;Carnoules;Carnoules;;;43.3024863;6.1898612;;;FR;Europe/Paris
;Carpentras;Carpentras;;;44.0554043;5.0487681;;;FR;Europe/Paris
;Castelnaudary;Castelnaudary;;;43.3192021;1.9533495;;;FR;Europe/Paris
;Castres;Castres;;;49.8044444;3.2383333;;;FR;Europe/Paris
;Cavaillon;Cavaillon;;;43.8356808;5.0383522;;;FR;Europe/Paris
;Cerbère;Cerbere;;;42.4412951;3.1646952;;;FR;Europe/Paris
;Cercy-la-Tour;Cercy-la-Tour;;;46.8696643;3.6457483;;;FR;Europe/Paris
;Châlons-en-Champagne;Chalons-en-Champagne;;;48.9566218;4.3628851;;;FR;Europe/Paris
;Châlons-en-Champagne Greta;Chalons-en-Champagne Greta;;;48.9739155;4.3600355;;;FR;Europe/Paris
;Châlons-en-Champagne Tissier;Chalons-en-Champagne Tissier;;;48.9575421;4.3644883;;;FR;Europe/Paris
;Châteaubriant;Chateaubriant;;;47.7194057;-1.3757282;;;FR;Europe/Paris
;Châteaubriant Tram Train;Chateaubriant Tram Train;;;47.7170797;-1.3714532;;;FR;Europe/Paris
;Château-du-Loir;Chateau-du-Loir;;;47.6995399;0.4311486;;;FR;Europe/Paris
;Châteaudun;Chateaudun;;;48.0702298;1.3284948;;;FR;Europe/Paris
;Châteaulin;Chateaulin;;;48.1968026;-4.0916875;;;FR;Europe/Paris
;Châteauroux;Chateauroux;;;46.8203785;1.6770956;;;FR;Europe/Paris
;Château-Thierry;Chateau-Thierry;;;49.0457362;3.4027111;;;FR;Europe/Paris
;Châtellerault;Chatellerault;;;46.8180047;0.5458120;;;FR;Europe/Paris
;Châtenois Gare;Chatenois;;;48.2725480;7.4013652;;;FR;Europe/Paris
;Chagny;Chagny;;;46.9105780;4.7523461;;;FR;Europe/Paris
;Chalon-sur-Saône;Chalon-sur-Saone;;;46.7831001;4.8534326;;;FR;Europe/Paris
;Chambéry - Challes-les-Eaux;Chambery - Challes-les-Eaux;;;45.5710720;5.9197355;;;FR;Europe/Paris
;Chambery-Jacob-Bellecombette;Chambery-Jacob-Bellecombette;;;45.5517030;5.9169790;;;FR;Europe/Paris
;Chamonix-Mont-Blanc;Chamonix-Mont-Blanc;;;45.9246705;6.8727506;;;FR;Europe/Paris
