id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
90;Reims Maison Blanche;reims-maison-blanche;8717127;87171272;49.233685;4.022493;89;;FR;Europe/Paris
91;Champagne-Ardenne TGV;champagne-ardenne-tgv;8717192;87171926;49.214806;3.994632;89;;FR;Europe/Paris
92;Reims Ville;reims-ville;8717100;87171009;49.258978;4.024435;89;;FR;Europe/Paris
93;Laval;laval;8747840;87478404;48.076206;-0.760907;4714;;FR;Europe/Paris
94;Accous;accous;8767278;87672782;42.983333;-0.600000;;;FR;Europe/Paris
95;Achiet;achiet;8734204;87342048;50.131753;2.780168;;;FR;Europe/Paris
96;Louverné;louverne;;;48.133333;-0.700000;;;FR;Europe/Paris
97;Louverné;louverne;8747851;87478511;48.108856;-0.714411;96;;FR;Europe/Paris
98;Louverné Centre;louverne-centre;8747991;87479915;48.123054;-0.719905;96;;FR;Europe/Paris
99;Mayenne;mayenne;;;48.300000;-0.616667;;;FR;Europe/Paris
100;Mayenne;mayenne;8747859;87478594;48.306455;-0.620588;99;;FR;Europe/Paris
101;Mayenne Centre;mayenne-centre;8747860;87478602;48.299504;-0.611340;99;;FR;Europe/Paris
104;Arnage;arnage;;;47.933333;0.183333;;;FR;Europe/Paris
105;Arnage;arnage;8739654;87396549;47.928566;0.189883;104;;FR;Europe/Paris
106;Arnage Centre;arnage-centre;8736033;87360339;47.937288;0.163801;104;;FR;Europe/Paris
107;Carnac;carnac;;;47.583333;-3.083333;;;FR;Europe/Paris
108;Plouharnel – Carnac;plouharnel-carnac;8747641;87476416;47.604294;-3.118448;107;;FR;Europe/Paris
109;Les Sables-Blancs;les-sables-blancs;8747626;87476267;47.575598;-3.132447;107;;FR;Europe/Paris
110;Carnac;carnac;8728967;87289678;47.584559;-3.082609;107;;FR;Europe/Paris
111;St-Pierre-Quiberon;st-pierre-quiberon;;;47.516667;-3.133333;;;FR;Europe/Paris
112;L’Isthme;listhme;8747627;87476275;47.546505;-3.133699;111;;FR;Europe/Paris
113;St-Pierre-Quiberon;st-pierre-quiberon;8747644;87476440;47.521057;-3.138905;111;;FR;Europe/Paris
114;Metz;metz;8719203;87192039;49.109545;6.176593;4827;;FR;Europe/Paris
115;Forbach;forbach;;;49.183333;6.900000;;;FR;Europe/Paris
117;Forbach;forbach-gare;8719300;87193003;49.189228;6.901318;115;;FR;Europe/Paris
118;Sarreguemines;sarreguemines;;;49.109950;7.067471;;;FR;Europe/Paris
119;Sarreguemines Poste;sarreguemines-poste;8740690;87406900;49.110155;7.054923;118;;FR;Europe/Paris
121;Sarreguemines;sarreguemines;8719361;87193615;49.107336;7.068640;118;;FR;Europe/Paris
122;Dunkerque;dunkerque;8728100;87281006;51.030470;2.368961;;;FR;Europe/Paris
123;Lille-Flandres;lille-flandres;8728600;87286005;50.636577;3.069870;4652;;FR;Europe/Paris
124;Haubourdin;haubourdin;8728609;87286096;50.607050;2.990153;;;FR;Europe/Paris
125;Tourcoing;tourcoing;8728654;87286542;50.71683;3.16804;5840;;FR;Europe/Paris
126;Nomain;nomain;;;50.500000;3.250000;;;FR;Europe/Paris
127;Nomain-Ouvignies;nomain-ouvignies;8728681;87286815;50.506076;3.230818;126;;FR;Europe/Paris
128;Nomain;nomain;8728660;87286609;50.502374;3.206350;126;;FR;Europe/Paris
129;Croix;croix;;;;;;;FR;Europe/Paris
130;Croix – Wasquehal;croix-wasquehal;8728671;87286716;50.678557;3.138032;129;;FR;Europe/Paris
131;Croix-l’Allumette;croix-lallumette;8728105;87281055;50.687201;3.151659;129;;FR;Europe/Paris
132;Roubaix;roubaix;8728673;87286732;50.69561;3.16348;;;FR;Europe/Paris
136;Jeumont;jeumont;;;50.300000;4.100000;;;FR;Europe/Paris
137;Jeumont;jeumont;8729501;87295014;50.29606;4.08645;136;;FR;Europe/Paris
139;Bellegarde-sur-Valserine;bellegarde-sur-valserine;;;46.107874;5.824213;;;FR;Europe/Paris
140;Bellegarde-sur-Valserine;bellegarde-sur-valserine;8774500;87745000;46.109425;5.823483;139;;FR;Europe/Paris
141;Bellegarde-sur-Valserine Lycée Musinens;bellegarde-sur-valserine-lycee-musinens;8774272;87742726;46.115336;5.794132;139;;FR;Europe/Paris
143;Briouze;briouze;8744808;87448084;48.701862;-0.368204;;;FR;Europe/Paris
148;Calais Ville;calais-ville;8731726;87317263;50.952613;1.848185;1417;;FR;Europe/Paris
149;Boulogne-sur-Mer Ville;boulogne-sur-mer-ville;8731758;87317586;50.71570;1.60964;5758;;FR;Europe/Paris
150;Allenc;allenc;8778365;87783654;44.541296;3.663893;;;FR;Europe/Paris
151;Pau;pau;8767200;87672006;43.291762;-0.369626;5006;;FR;Europe/Paris
152;Hendaye;hendaye;8767700;87677005;43.353132;-1.781724;5785;;FR;Europe/Paris
153;Strasbourg;strasbourg;8721202;87212027;48.584967;7.734584;5260;;FR;Europe/Paris
154;Mertzwiller;mertzwiller;;;48.866667;7.683333;;;FR;Europe/Paris
155;Mertzwiller;mertzwiller;8721320;87213207;48.872013;7.678190;154;;FR;Europe/Paris
157;Colmar;colmar;8718201;87182014;48.073201;7.346967;1349;;FR;Europe/Paris
158;Mulhouse;mulhouse;8718206;87182063;47.742224;7.342396;4753;;FR;Europe/Paris
159;St-Louis (Haut Rhin);st-louis-haut-rhin;;;47.583333;7.566667;;;FR;Europe/Paris
160;St-Louis La-Chaussée;st-louis-la-chaussee;8718101;87181016;47.609478;7.531210;159;;FR;Europe/Paris
161;St-Louis;st-louis;8718213;87182139;47.590609;7.555988;159;;FR;Europe/Paris
162;Thann;thann;;;;;;;FR;Europe/Paris
163;Thann;thann;8718256;87182568;47.808821;7.106980;162;;FR;Europe/Paris
